,death_prob,rep_prob,cancer_prob,guide,init_cells,run,before,after,nj,cassiopeia,reassign_delta,nj_delta
105,0.2,0.75,0.01,sff,1,1,0.878,0.819,0.821,0.8796116504854369,-0.05900000000000005,0.0020000000000000018
106,0.2,0.75,0.01,sff,1,2,0.848,0.839,0.864,0.9781879194630873,-0.009000000000000008,0.025000000000000022
107,0.2,0.75,0.01,mmm,1,0,0.967,0.982,0.98,0.8253731343283582,0.015000000000000013,-0.0020000000000000018
108,0.2,0.75,0.01,mmm,1,1,0.593,0.554,0.523,0.49443757725587145,-0.038999999999999924,-0.031000000000000028
109,0.2,0.75,0.01,mmm,1,2,0.955,0.952,0.944,0.8209366391184573,-0.0030000000000000027,-0.008000000000000007
110,0.2,0.75,0.01,mmf,1,0,0.913,0.889,0.872,0.926509186351706,-0.02400000000000002,-0.017000000000000015
111,0.2,0.75,0.01,mmf,1,1,0.885,0.887,0.908,0.9154676258992805,0.0020000000000000018,0.02100000000000002
112,0.2,0.75,0.01,mmf,1,2,0.993,0.975,0.966,0.9664804469273743,-0.018000000000000016,-0.009000000000000008
113,0.2,0.75,0.01,mff,1,0,0.991,0.945,0.941,0.948948948948949,-0.04600000000000004,-0.0040000000000000036
114,0.2,0.75,0.01,mff,1,1,0.941,0.955,0.941,0.9671052631578947,0.014000000000000012,-0.014000000000000012
115,0.2,0.75,0.01,mff,1,2,0.983,0.972,0.972,0.8797564687975646,-0.01100000000000001,0.0
116,0.2,0.75,0.01,fff,1,0,0.932,0.905,0.922,0.9326805385556916,-0.027000000000000024,0.017000000000000015
117,0.2,0.75,0.01,fff,1,1,0.839,0.838,0.866,0.9932249322493225,-0.0010000000000000009,0.028000000000000025
118,0.2,0.75,0.01,fff,1,2,0.985,0.972,0.985,0.9876352395672334,-0.013000000000000012,0.013000000000000012
119,0.1,0.9,0.001,sss,1,0,0.818,0.775,0.773,0.7239057239057239,-0.04299999999999993,-0.0020000000000000018
120,0.1,0.9,0.001,sss,1,1,0.992,0.984,0.979,0.881578947368421,-0.008000000000000007,-0.0050000000000000044
121,0.1,0.9,0.001,sss,1,2,0.65,0.591,0.59,0.4467265725288832,-0.05900000000000005,-0.0010000000000000009
122,0.1,0.9,0.001,ssm,1,1,0.97,0.872,0.832,0.7788595271210014,-0.09799999999999998,-0.040000000000000036
123,0.1,0.9,0.001,ssm,1,2,0.831,0.821,0.795,0.5207792207792208,-0.010000000000000009,-0.025999999999999912
124,0.1,0.9,0.001,smm,1,0,0.724,0.788,0.817,0.5099667774086378,0.06400000000000006,0.028999999999999915
125,0.1,0.9,0.001,smm,1,1,0.977,0.894,0.903,0.8391891891891892,-0.08299999999999996,0.009000000000000008
126,0.1,0.9,0.001,smm,1,2,0.993,0.976,0.973,0.9733333333333334,-0.017000000000000015,-0.0030000000000000027
127,0.1,0.9,0.001,smm,5,1,0.947,0.935,0.938,0.9416873449131513,-0.0119999999999999,0.0029999999999998916
128,0.1,0.9,0.001,ssf,1,0,0.791,0.788,0.726,0.8701986754966887,-0.0030000000000000027,-0.062000000000000055
129,0.1,0.9,0.001,ssf,1,1,0.812,0.687,0.691,0.7942386831275721,-0.125,0.0039999999999998925
130,0.1,0.9,0.001,ssf,1,2,0.993,0.988,0.987,0.6605657237936772,-0.0050000000000000044,-0.0010000000000000009
131,0.1,0.9,0.001,smf,1,0,0.973,0.971,0.957,0.8980446927374302,-0.0020000000000000018,-0.014000000000000012
132,0.1,0.9,0.001,smf,1,1,0.993,0.946,0.967,0.9525801952580195,-0.04700000000000004,0.02100000000000002
133,0.1,0.9,0.001,smf,1,2,0.926,0.898,0.903,0.9030898876404494,-0.028000000000000025,0.0050000000000000044
134,0.1,0.9,0.001,sff,1,0,0.842,0.858,0.852,0.9846625766871165,0.016000000000000014,-0.006000000000000005
135,0.1,0.9,0.001,sff,1,1,0.949,0.992,0.993,0.9587955625990491,0.04300000000000004,0.0010000000000000009
136,0.1,0.9,0.001,sff,1,2,0.961,0.958,0.961,0.9858934169278997,-0.0030000000000000027,0.0030000000000000027
137,0.1,0.9,0.001,mmm,1,0,0.981,0.947,0.943,0.8679245283018868,-0.03400000000000003,-0.0040000000000000036
138,0.1,0.9,0.001,mmm,1,1,0.82,0.79,0.802,0.5953905249679897,-0.029999999999999916,0.01200000000000001
139,0.1,0.9,0.001,mmm,1,2,0.962,0.973,0.975,0.8105781057810578,0.01100000000000001,0.0020000000000000018
140,0.1,0.9,0.001,mmf,1,0,0.991,0.885,0.895,0.7831325301204819,-0.10599999999999998,0.010000000000000009
141,0.1,0.9,0.001,mmf,1,1,0.65,0.507,0.534,0.9629139072847682,-0.14300000000000002,0.027000000000000024
142,0.1,0.9,0.001,mmf,1,2,0.916,0.89,0.898,0.9599465954606141,-0.026000000000000023,0.008000000000000007
143,0.1,0.9,0.001,mff,1,0,0.734,0.689,0.714,0.9290322580645162,-0.04500000000000004,0.025000000000000022
144,0.1,0.9,0.001,mff,1,1,0.752,0.782,0.784,0.9598765432098766,0.030000000000000027,0.0020000000000000018
145,0.1,0.9,0.001,mff,1,2,0.952,0.948,0.949,0.9635499207606973,-0.0040000000000000036,0.0010000000000000009
146,0.1,0.9,0.001,fff,1,0,0.993,0.981,0.989,0.9832402234636871,-0.01200000000000001,0.008000000000000007
147,0.1,0.9,0.001,fff,1,1,0.989,0.987,0.996,0.964095744680851,-0.0020000000000000018,0.009000000000000008
148,0.1,0.9,0.001,fff,1,2,0.887,0.98,0.991,0.9841463414634146,0.09299999999999997,0.01100000000000001
149,0.1,0.9,0.01,sss,1,0,0.962,0.778,0.789,0.4645669291338583,-0.18399999999999994,0.01100000000000001
150,0.1,0.9,0.01,sss,1,1,0.705,0.608,0.591,0.5013054830287206,-0.09699999999999998,-0.017000000000000015
151,0.1,0.9,0.01,sss,1,2,0.781,0.775,0.784,0.5449101796407185,-0.006000000000000005,0.009000000000000008
152,0.1,0.9,0.01,ssm,1,0,0.888,0.824,0.83,0.9497568881685575,-0.06400000000000006,0.006000000000000005
153,0.1,0.9,0.01,ssm,1,1,0.986,0.979,0.975,0.8231382978723404,-0.007000000000000006,-0.0040000000000000036
154,0.1,0.9,0.01,ssm,1,2,0.542,0.511,0.52,0.5090689238210399,-0.031000000000000028,0.009000000000000008
155,0.1,0.9,0.01,smm,1,0,0.978,0.864,0.89,0.9475177304964539,-0.11399999999999999,0.026000000000000023
156,0.1,0.9,0.01,smm,1,1,0.994,0.992,0.993,0.5266497461928934,-0.0020000000000000018,0.0010000000000000009
157,0.1,0.9,0.01,smm,1,2,0.775,0.778,0.762,0.7191780821917808,0.0030000000000000027,-0.016000000000000014
158,0.1,0.9,0.01,ssf,1,0,0.795,0.793,0.764,0.7099358974358975,-0.0020000000000000018,-0.029000000000000026
159,0.1,0.9,0.01,ssf,1,1,0.973,0.965,0.977,0.9447368421052632,-0.008000000000000007,0.01200000000000001
160,0.1,0.9,0.01,ssf,1,2,0.966,0.952,0.945,0.962059620596206,-0.014000000000000012,-0.007000000000000006
161,0.1,0.9,0.01,smf,1,0,0.949,0.941,0.94,0.9300998573466477,-0.008000000000000007,-0.0010000000000000009
162,0.1,0.9,0.01,smf,1,1,0.939,0.936,0.939,0.8895184135977338,-0.0029999999999998916,0.0029999999999998916
163,0.1,0.9,0.01,smf,1,2,0.976,0.914,0.918,0.951885565669701,-0.061999999999999944,0.0040000000000000036
164,0.1,0.9,0.01,sff,1,0,0.754,0.782,0.774,0.9125,0.028000000000000025,-0.008000000000000007
165,0.1,0.9,0.01,sff,1,1,0.918,0.912,0.937,0.7077625570776256,-0.006000000000000005,0.025000000000000022
166,0.1,0.9,0.01,sff,1,2,0.856,0.811,0.809,0.9415929203539823,-0.04499999999999993,-0.0020000000000000018
167,0.1,0.9,0.01,mmm,1,0,0.961,0.868,0.855,0.6949152542372882,-0.09299999999999997,-0.013000000000000012
168,0.1,0.9,0.01,mmm,1,1,0.878,0.895,0.887,0.7569528415961306,0.017000000000000015,-0.008000000000000007
